date	Open	High	Low	Close	VolumeBTC	VolumeCurrency	WeightedPrice
2010-07-17	0.04951	0.04951	0.04951	0.04951	20	0.99	0.05
2010-07-18	0.04951	0.08585	0.05941	0.08584	75.01	5.09	0.07
2010-07-19	0.08584	0.09307	0.07723	0.0808	574	49.66	0.09
2010-07-20	0.0808	0.08181	0.07426	0.07474	262	20.59	0.08
2010-07-21	0.07474	0.07921	0.06634	0.07921	575	42.26	0.07
2010-07-22	0.07921	0.08181	0.0505	0.0505	2160	129.78	0.06
2010-07-23	0.0505	0.06767	0.0505	0.06262	2402.5	141.07	0.06
2010-07-24	0.06262	0.06161	0.05049	0.05454	496.32	26.73	0.05
2010-07-25	0.05454	0.05941	0.0505	0.0505	1551.48	85.06	0.05
2010-07-26	0.0505	0.056	0.05	0.056	877	46.91	0.05
2010-07-27	0.056	0.0605	0.053	0.06	3373.69	196.92	0.06
2010-07-28	0.06	0.062	0.054	0.0589	4390.29	255.76	0.06
2010-07-29	0.0589	0.0699	0.0571	0.0699	8058.49	528.32	0.07
2010-07-30	0.0699	0.0698	0.0582	0.0627	3020.85	198.53	0.07
2010-07-31	0.0627	0.06889	0.056	0.06785	4022.25	243.9	0.06
2010-08-01	0.06785	0.065	0.06	0.0611	2601	162.65	0.06
2010-08-02	0.0611	0.0633	0.06	0.06	3599	221.2	0.06
2010-08-03	0.06	0.065	0.059	0.06	9821.46	606.05	0.06
2010-08-04	0.06	0.06231	0.057	0.057	3494	210.77	0.06
2010-08-05	0.057	0.061	0.058	0.061	5034.07	303.61	0.06
2010-08-06	0.061	0.0624	0.0607	0.0623	1395	85.91	0.06
2010-08-07	0.0623	0.0622	0.059	0.059	2619	157.34	0.06
2010-08-08	0.059	0.061	0.059	0.0609	2201	132.6	0.06
2010-08-09	0.0609	0.0735	0.0593	0.071	13631.09	886.93	0.07
2010-08-10	0.071	0.0709	0.06651	0.07	1310.39	88.87	0.07
2010-08-11	0.07	0.07541	0.06	0.067	14061.18	1015.64	0.07
2010-08-12	0.067	0.07	0.06141	0.07	2062.31	134.49	0.07
